Country,Year,manuf_pib,ind_pib,manuf_exp,hitech_exp_wdi,pesq_pm,rd_pct_wdi,deflator,artigos_se_nsf
Indonesia,2014,21.0751760505565,41.9283421270033,40.3072576763276,9.32850761968047,,,123.407704913933,3094.66
Indonesia,2015,20.9857874310206,40.0478624042506,44.075318248092,8.88987824359938,,,128.319631030817,4112.9
Indonesia,2016,20.5229746805052,39.3084439802081,46.860340946238,7.99860974921307,177.73496,0.24535,131.449249420225,5850.08
Indonesia,2017,20.1600223614347,39.3791548040237,41.8775192324309,8.44632702628773,214.08281,0.23805,137.091942591614,11115.87
Indonesia,2018,19.8631933835963,39.7297374523848,43.11955368942,8.21299200751234,215.18755,0.22632,142.326556547384,13147.37
Indonesia,2019,19.7035390875513,38.9517679950779,46.2914435756783,8.09206094724751,387.17063,0.27129,144.601630186014,17156.26
Indonesia,2020,19.8664218856304,38.2383937187942,46.614182661618,8.4247469855579,395.34168,0.28068,144.020835663022,20837
Indonesia,2021,19.2434077817738,39.8448191919686,44.9007416009427,7.20127970144306,,,152.667808069412,23653.58
Ireland,2013,19.0761287551304,23.8396733678378,84.5776206447973,24.9839328156584,5141.73776,1.53562,88.1853453021704,7005.24
Ireland,2014,19.58634485518,24.4288440676474,84.3096444389838,24.9189231516136,5290.95054,1.47756,88.4140192201743,7091.25
Ireland,2015,34.8913217286457,38.4401729288171,86.6137873934004,28.3389494347801,5242.06636,1.14062,96.2986156850128,6808.89
Ireland,2016,32.6267738894039,36.5192338386058,87.6083308140505,32.8418171476767,5143.85544,1.14954,96.4107698852688,7093.78
Ireland,2017,32.1593567756814,36.2543208523413,86.4802266647022,29.3340262522775,5114.19434,1.20821,97.8511311932151,7205.05
Ireland,2018,32.7799541366431,36.848503844665,88.0630365371726,25.0152782298751,4656.77702,1.08244,98.7530425992657,7397.98
Ireland,2019,31.9303074064122,35.880910077936,88.7204094217023,25.9769791902199,4961.4389,1.13733,102.107697913788,7763.57
Ireland,2020,33.6151990544761,37.1803685713508,89.8991029866128,25.8991544690003,5196.11055,1.12466,100,8400.81
Ireland,2021,34.3142984743754,38.0466211469982,89.2928042820662,28.4781475271992,5213.43167,1.0732,101.048750976761,9216.71
Israel,2013,12.9828311268844,20.5754790666646,92.3856272918218,19.0362582405147,,4.10651,93.1312859690689,11269.87
Israel,2014,12.5092649781181,19.9649384224167,92.6827022190732,19.4130528417277,,4.19613,93.8516244767406,11944.3
Israel,2015,12.9237212257425,19.9967940857239,94.7021611818398,23.6539775366063,,4.29761,96.0654330848531,12102.22
Israel,2016,12.0961436457446,19.1747519313502,92.2555376539468,21.8196172712291,,4.59051,96.2729401225217,12363.13
Israel,2017,11.5023862456544,18.6810595382266,93.591753124494,21.0679788533896,,4.74032,96.2451563468027,12385.3
Israel,2018,11.678065693861,18.8779508643639,92.9570187333745,22.5362840096475,,4.91965,96.9402358724344,12684.14
Israel,2019,11.6354672967477,18.9502208227104,93.0266199835024,23.0916656017552,,5.35528,98.7860578753071,12946.3
Israel,2020,12.3190734802149,19.4824194045547,91.6476911584148,28.197643074759,,5.83209,100,13366.53
Israel,2021,11.9008173223304,18.9071512661919,90.3808218300965,29.5956758722761,,5.75725,102.28740044336,14633.85
Italy,2013,13.7593478951288,20.6001539419293,81.6447586290394,7.77207145281516,1916.30366,1.29425,92.9623720044883,66220.78
Italy,2014,13.8362218969996,20.1870844682284,82.5731128622644,7.73691381710463,1947.34437,1.33148,93.801404551964,67444.12
Italy,2015,14.2623447666015,20.2895283210976,83.2475535707022,8.15204658018138,2075.80841,1.33213,94.5356598825873,69382.56
Italy,2016,14.6638600182643,20.6626457226581,83.6851644911395,8.29074616964551,2209.59265,1.35915,95.715627369582,69301.08
