modelo,DMU,original,rDEA_theta_bc,boot_bc,ic_inf,ic_sup,vies_phi
S,Brazil-2020,0.256,0.142,0.197,0.1755,0.2184,-1.1691
S,Bulgaria-2018,0.4901,0.2439,0.3712,0.3245,0.4225,-0.6531
S,Bulgaria-2019,0.5855,0.3071,0.4459,0.4025,0.4984,-0.5347
S,Bulgaria-2021,0.7504,0.3523,0.5615,0.5048,0.6406,-0.4482
S,Chile-2014,0.1825,0.1187,0.1455,0.1337,0.158,-1.3939
S,Chile-2015,0.3284,0.1594,0.2481,0.2152,0.2837,-0.9858
S,Chile-2017,0.2535,0.1449,0.1959,0.1792,0.2159,-1.1595
S,Chile-2018,0.2619,0.1672,0.2077,0.1911,0.2255,-0.9961
S,Chile-2019,0.3296,0.2063,0.2601,0.239,0.2828,-0.8112
S,China-2013,1,-0.4278,0.6491,0.5696,0.8461,-0.5405
S,China-2014,0.8887,0.4299,0.6681,0.5964,0.7521,-0.3715
S,China-2015,0.8741,0.394,0.6509,0.5806,0.7406,-0.3924
S,China-2016,0.6407,0.3419,0.4897,0.4394,0.5537,-0.4812
S,China-2017,0.7548,0.378,0.5704,0.5097,0.6417,-0.4282
S,China-2018,0.7655,0.3593,0.5734,0.508,0.6528,-0.4378
S,China-2019,1,0.4406,0.7428,0.6594,0.8518,-0.3462
S,China-2020,1,0.3977,0.734,0.6514,0.8593,-0.3624
S,China-2021,1,0.1921,0.6985,0.6255,0.8345,-0.4316
S,Colombia-2015,0.4581,0.1918,0.3391,0.2956,0.3929,-0.7662
S,Colombia-2017,0.6028,0.3602,0.4707,0.4272,0.5201,-0.4656
S,Colombia-2019,0.5483,0.2817,0.4152,0.3811,0.4715,-0.5844
S,Croatia-2015,0.6009,0.1936,0.4342,0.3819,0.5113,-0.6388
S,Croatia-2018,0.4067,0.2437,0.3179,0.2873,0.3477,-0.687
S,Croatia-2019,0.3859,0.2179,0.2975,0.2711,0.3292,-0.7702
S,France-2013,0.5166,0.1936,0.3774,0.3346,0.4376,-0.7141
S,France-2014,0.277,0.1696,0.2174,0.198,0.2369,-0.9908
S,France-2015,0.386,0.2176,0.2973,0.2711,0.3272,-0.7726
S,France-2016,0.3176,0.1846,0.2461,0.2266,0.2717,-0.9145
S,France-2017,0.3026,0.1868,0.2379,0.217,0.2579,-0.8989
S,France-2018,0.3309,0.2049,0.2603,0.2371,0.2825,-0.8187
S,Greece-2014,0.4778,0.30620000000000003,0.3789,0.3508,0.4085,-0.5467
S,Greece-2015,0.727,0.2726,0.5325,0.4615,0.6234,-0.5025
S,Greece-2016,0.588,0.395,0.4725,0.4413,0.5045,-0.4156
S,Greece-2017,0.4041,0.2672,0.3231,0.3034,0.3456,-0.6204
S,Greece-2018,0.7698,0.485,0.6082,0.5583,0.6553,-0.345
S,Greece-2019,0.6884,0.4815,0.5601,0.525,0.5938,-0.3327
S,Greece-2020,0.7764,0.5468,0.6332,0.5963,0.6717,-0.2914
S,Greece-2021,0.8132,0.5561,0.6566,0.6198,0.6922,-0.2933
S,Hungary-2013,0.3001,0.1225,0.2214,0.1925,0.2544,-1.1831
S,Hungary-2014,0.2403,0.1535,0.1904,0.1776,0.2068,-1.09
S,Hungary-2015,0.1817,0.1183,0.1447,0.134,0.1547,-1.408
S,Hungary-2016,0.2503,0.1571,0.1975,0.1835,0.2158,-1.0691
S,Hungary-2017,0.2441,0.1547,0.1931,0.1784,0.2085,-1.0829
S,Hungary-2018,0.2228,0.1484,0.1785,0.168,0.1902,-1.1135
S,Hungary-2019,0.3435,0.2331,0.2769,0.2584,0.2939,-0.7007
S,Hungary-2020,0.3889,0.2666,0.3145,0.2944,0.3333,-0.6089
S,Hungary-2021,0.3779,0.2653,0.3079,0.2891,0.325,-0.6022
S,India-2013,1,0.5417,0.7639,0.7075,0.8377,-0.3091
S,India-2014,0.5907,0.3395,0.4572,0.4103,0.5002,-0.4941
S,India-2015,0.7149,0.3941,0.5493,0.4908,0.6127,-0.4217
S,India-2016,1,0.5627,0.77,0.706,0.8513,-0.2987
