modelo,Country_Year,Country,Year,zero_inv,esc_contemp,esc_seq,esc_uniao,esc_global,tgr,tgr_uniao,convexificacao
C,Hungary-2019,Hungary,2019,FALSE,0.0614,0.0406,0.0555,0.037,0.6029,0.9048,1.5006
C,Hungary-2020,Hungary,2020,FALSE,0.035,0.0212,0.0328,0.0212,0.6047,0.9375,1.5503
C,Hungary-2021,Hungary,2021,FALSE,0.0203,0.0104,0.0127,0.0104,0.512,0.6259,1.2224
C,India-2013,India,2013,FALSE,0.4108,0.4108,0.1167,0.0988,0.2406,0.2841,1.1808
C,India-2014,India,2014,FALSE,0.2834,0.2834,0.0167,0.0166,0.0587,0.0589,1.0032
C,India-2015,India,2015,FALSE,0.4412,0.4286,0.0354,0.0353,0.08,0.0802,1.003
C,India-2016,India,2016,FALSE,0.3477,0.3381,0.076,0.0742,0.2133,0.2187,1.0253
C,India-2017,India,2017,FALSE,0.3106,0.3084,0.077,0.0768,0.2473,0.248,1.0027
C,India-2018,India,2018,FALSE,0.1695,0.1695,0.0732,0.073,0.4308,0.4319,1.0025
C,India-2019,India,2019,FALSE,0.0042,0.0042,0.0027,0.0026,0.6171,0.6263,1.015
C,India-2020,India,2020,FALSE,0.0017,0.0017,0.0014,0.0014,0.8465,0.8487,1.0026
C,Indonesia-2013,Indonesia,2013,FALSE,1,1,0.0477,0.0301,0.0301,0.0477,1.5811
C,Indonesia-2016,Indonesia,2016,FALSE,0.1263,0.0531,0.063,0.0445,0.3526,0.4988,1.4144
C,Ireland-2016,Ireland,2016,FALSE,0.021,0.0175,0.007,0.0048,0.229,0.332,1.4495
C,Ireland-2018,Ireland,2018,FALSE,0.006,0.0057,0.0049,0.0036,0.5935,0.806,1.358
C,Israel-2013,Israel,2013,FALSE,0.1446,0.1446,0.0231,0.0172,0.1193,0.1598,1.3398
C,Israel-2014,Israel,2014,FALSE,0.0737,0.0735,0.012,0.0094,0.1281,0.1634,1.2753
C,Israel-2015,Israel,2015,FALSE,0.1472,0.128,0.0272,0.0236,0.1605,0.1849,1.1524
C,Israel-2016,Israel,2016,FALSE,0.0243,0.0228,0.0073,0.0065,0.2661,0.2997,1.1262
C,Israel-2017,Israel,2017,FALSE,0.0565,0.053900000000000003,0.0256,0.0232,0.4108,0.4541,1.1055
C,Israel-2018,Israel,2018,FALSE,0.0293,0.0285,0.0192,0.0178,0.6063,0.6564,1.0826
C,Israel-2019,Israel,2019,FALSE,0.018,0.0175,0.0139,0.0132,0.7318,0.7731,1.0565
C,Israel-2020,Israel,2020,FALSE,0.0123,0.0118,0.0123,0.0118,0.9567,1,1.0453
C,Israel-2021,Israel,2021,FALSE,0.0115,0.0107,0.0111,0.0107,0.9294,0.9672,1.0406
C,Italy-2013,Italy,2013,FALSE,0.0446,0.0446,0.0446,0.0431,0.9655,1,1.0358
C,Italy-2014,Italy,2014,FALSE,0.0527,0.0231,0.0242,0.019,0.3609,0.4585,1.2704
C,Japan-2013,Japan,2013,FALSE,0.7792,0.7792,0.7792,0.6293,0.8076,1,1.2382
C,Japan-2014,Japan,2014,FALSE,1,1,0.8959,0.6425,0.6425,0.8959,1.3944
C,Japan-2015,Japan,2015,FALSE,1,0.9886,0.4341,0.389,0.389,0.4341,1.116
C,Japan-2016,Japan,2016,FALSE,1,0.9363,0.2187,0.2173,0.2173,0.2187,1.0063
C,Japan-2017,Japan,2017,FALSE,1,1,0.4968,0.4861,0.4861,0.4968,1.0219
C,Japan-2018,Japan,2018,FALSE,1,1,0.545,0.5384,0.5384,0.545,1.0122
C,Japan-2019,Japan,2019,FALSE,0.613,0.6099,0.4638,0.4596,0.7497,0.7567,1.0093
C,Japan-2020,Japan,2020,FALSE,0.444,0.4405,0.444,0.4405,0.992,1,1.0081
C,Japan-2021,Japan,2021,FALSE,0.5776,0.3503,0.3547,0.3503,0.6065,0.6141,1.0125
C,Luxembourg-2016,Luxembourg,2016,TRUE,1,1,1,1,1,1,1
C,Luxembourg-2017,Luxembourg,2017,FALSE,1,0.1372,0.1416,0.1295,0.1295,0.1416,1.094
C,Luxembourg-2018,Luxembourg,2018,FALSE,1,0.2943,0.4071,0.2454,0.2454,0.4071,1.6589
C,Luxembourg-2019,Luxembourg,2019,FALSE,1,0.2187,0.4454,0.1797,0.1797,0.4454,2.4791
C,Luxembourg-2020,Luxembourg,2020,FALSE,1,0.1664,0.2836,0.1605,0.1605,0.2836,1.7676
C,Luxembourg-2021,Luxembourg,2021,FALSE,1,0.3578,0.7297,0.3578,0.3578,0.7297,2.0393
C,Malaysia-2014,Malaysia,2014,TRUE,0.4782,0.4782,0.4782,0.4782,1,1,1
C,Malaysia-2015,Malaysia,2015,FALSE,0.535,0.3185,0.2452,0.2277,0.4257,0.4584,1.0769
C,Malaysia-2016,Malaysia,2016,FALSE,0.6316,0.193,0.2374,0.193,0.3057,0.3758,1.2297
C,Malaysia-2018,Malaysia,2018,FALSE,0.049,0.0476,0.028,0.0251,0.5126,0.5717,1.1152
C,Malaysia-2020,Malaysia,2020,FALSE,0.0071,0.0063,0.0071,0.0063,0.8872,1,1.1271
C,Mexico-2013,Mexico,2013,FALSE,1,1,1,0.7837,0.7837,1,1.2759
