modelo,DMU,cols,sfa,bcc
T,Bulgaria-2018,0.0775,0.6602,0.112
T,Bulgaria-2019,0.086,0.6644,0.1327
T,Bulgaria-2021,0.032,0.6237,0.061
T,Chile-2014,0.0092,0.5641,0.0071
T,Chile-2015,0.0738,0.6585,0.1913
T,Chile-2017,0.013,0.5815,0.0133
T,Chile-2018,0.009,0.5626,0.0064
T,Chile-2019,0.0109,0.5729,0.0072
T,China-2013,0.0882,0.665,1
T,China-2014,0.0739,0.6581,0.1997
T,China-2015,0.1089,0.6728,0.3331
T,China-2016,0.1706,0.6889,0.208
T,China-2017,0.2995,0.7076,0.4295
T,China-2018,0.4769,0.7218,0.4936
T,China-2019,0.7015,0.7329,0.8508
T,China-2020,0.9348,0.7407,1
T,China-2021,1,0.7425,1
T,Colombia-2015,0.032,0.6238,0.0956
T,Colombia-2017,0.037,0.6299,0.0694
T,Colombia-2019,0.0235,0.6098,0.0324
T,Croatia-2015,0.0397,0.6331,0.0977
T,Croatia-2018,0.0445,0.6379,0.0429
T,Croatia-2019,0.0208,0.6042,0.0288
T,France-2013,0.0052,0.5337,0.0425
T,France-2014,0.0039,0.5176,0.0035
T,France-2015,0.0049,0.5309,0.0124
T,France-2016,0.0084,0.5593,0.0123
T,France-2017,0.0116,0.5755,0.0122
T,France-2018,0.0215,0.6052,0.0218
T,Greece-2014,0.0043,0.523,0.0033
T,Greece-2015,0.0185,0.5986,0.0956
T,Greece-2016,0.023,0.6086,0.0366
T,Greece-2017,0.0557,0.647,0.0361
T,Greece-2018,0.0515,0.6439,0.2029
T,Greece-2019,0.0131,0.5818,0.0285
T,Greece-2020,0.0191,0.6001,0.0337
T,Greece-2021,0.0221,0.6069,0.0191
T,Hungary-2013,0.0216,0.6059,0.0957
T,Hungary-2014,0.0076,0.5542,0.0154
T,Hungary-2015,0.0337,0.6257,0.0256
T,Hungary-2016,0.037,0.6299,0.0472
T,Hungary-2017,0.0473,0.6404,0.1416
T,Hungary-2018,0.0135,0.5833,0.0098
T,Hungary-2019,0.0208,0.6041,0.0369
T,Hungary-2020,0.0104,0.5701,0.0212
T,Hungary-2021,0.0083,0.5589,0.0104
